Missing data from input file BMR_Neestimator_062421.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_BMR_017]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
     580           46             0000            16
     581          218             0000            13
     582            1             0000          1725
     583            3             0000            39
     584           46             0000            16
     585            3             0000            22
     586            3             0000            27
     587           51             0000            28
     588          218             0000            17
     589          218             0000            10
     590            3             0000            30
     591          217             0000            12
     592          218             0000            11
     593           46             0000            17
     594          218             0000            13
     595          117             0000            13
     596            3             0000           255
     597            3             0000            71
     598          401             0000             9
     599           12             0000            14
     600            3             0000            64
     601           46             0000            66
     602           51             0000            26
     603            3             0000            33
     604          218             0000            21
     605           46             0000            57
     606            3             0000            18
     607          218             0000            11
     608            3             0000            17
     609            3             0000            39
     610           46             0000            23
     611            3             0000            92
     612          217             0000             6
     613          469             0000             5
     614           46             0000            25
     615          369             0000             5
     616            3             0000           130
     617          117             0000            19
     618          218             0000            13
     619          559             0000            13
     620            3             0000            42
     621          218             0000            13
     622            3             0000             9
     623            3             0000            28
     624            3             0000            21
     625            3             0000            42
     626            3             0000            19
     627            3             0000            39
     628            2             0000          1510
     629            3             0000            37
     630            3             0000            14
     631          110             0000            22
     632            3             0000            30
     633            3             0000            23
     634            3             0000            12
     635          218             0000            16
     636          217             0000             9
     637            1             0000          1375
     638            3             0000           345
     639            3             0000            12
     640            3             0000            19
     641            3             0000            11
     642           79             0000            17
     643            3             0000            17
     644            3             0000            15
     645            3             0000            99
     646          702             0000             4
     647            3             0000             3
     648            3             0000            37
     649            3             0000            44
     650          624             0000             8
     651          117             0000             7
     652         1037             0000             9
     653            3             0000           220
     654            3             0000           136
     655            3             0000            26
     656            3             0000            13
     657          218             0000            14
     658          500             0000             7
     659            3             0000            16
     660            3             0000            14
     661          500             0000             5
     662            3             0000            81
     663            3             0000            12
     664            3             0000            17
     665            3             0000            17
     666          275             0000             8
     667         2228             0000             3
     668            3             0000            20
     669            1             0000          1741
     670            3             0000           496
     671           46             0000            28
     672          313             0000            23
     673            3             0000            10
     674            3             0000            17
     675          218             0000            13
     676          313             0000             6
     677            3             0000            29
     678            2             0000          1196
     679            3             0000            44
     680            3             0000            23
     681            3             0000            14
     682            3             0000            41
     683            3             0000            13
     684            3             0000            27
     685            3             0000            86
     686            3             0000            70
     687          756             0000             6
     688            3             0000            14
     689            3             0000            28
     690         1996             0000             4
     691          283             0000             5
     692            3             0000            67
     693            2             0000           606
     694          217             0000            20
     695            3             0000            11
     696           79             0000            13
     697            3             0000             8
     698           14             0000             4
     699         1996             0000             3
     700          847             0000             4
     701            3             0000           213
     702         2169             0000             2
     703          313             0000            12
     704          218             0000            20
     705            3             0000            38
     706          254             0000            10
     707          218             0000             7
     708           38             0000            10
     709          480             0000             5
     710          870             0000            11
     711          218             0000            17
     712          218             0000             7
     713         1200             0000             6
     714           38             0000             6
     715           79             0000            25
     716            3             0000             7
     717          218             0000             9
     718            3             0000            12
     719          499             0000             3
     720           38             0000             6
     721          756             0000             9
     722          218             0000             9
     723          117             0000            12
     724            2             0000           825
     725          218             0000             9
     726            3             0000           177
     727         1378             0000             2
     728            3             0000            24
     729         1216             0000             6
     730          218             0000            19
     731          148             0000             8
     732         1736             0000             4
     733            3             0000           307
     734            3             0000            40
     735            3             0000            29
     736            3             0000            24
