OffspringID	FatherID	MotherID	ClusterIndex
PM_BMR_414	20	23	5
PM_BMR_415	7	11	6
PM_BMR_416	5	10	5
PM_BMR_417	13	14	5
PM_BMR_418	7	11	6
PM_BMR_419	7	11	6
PM_BMR_420	11	14	5
PM_BMR_421	6	18	4
PM_BMR_422	16	17	8
PM_BMR_423	11	14	5
PM_BMR_424	16	17	8
PM_BMR_425	16	17	8
PM_BMR_426	7	7	6
PM_BMR_427	4	4	4
PM_BMR_428	18	20	5
PM_BMR_429	13	14	5
PM_BMR_430	7	11	6
PM_BMR_431	7	7	6
PM_BMR_432	11	14	5
PM_BMR_433	11	14	5
PM_BMR_434	10	13	5
PM_BMR_435	10	13	5
PM_BMR_436	7	11	6
PM_BMR_437	7	16	6
PM_BMR_438	10	13	5
PM_BMR_439	7	7	6
PM_BMR_440	7	7	6
PM_BMR_441	10	12	5
PM_BMR_442	6	18	4
PM_BMR_443	4	4	4
PM_BMR_444	6	6	4
PM_BMR_445	11	14	5
PM_BMR_446	20	23	5
PM_BMR_447	11	14	5
PM_BMR_448	14	4	4
PM_BMR_449	9	14	5
PM_BMR_450	6	37	4
PM_BMR_451	10	13	5
PM_BMR_452	17	19	5
PM_BMR_453	9	12	5
PM_BMR_454	7	7	6
PM_BMR_455	14	4	4
PM_BMR_456	5	5	5
PM_BMR_457	10	12	5
PM_BMR_458	6	37	4
PM_BMR_459	11	14	5
PM_BMR_460	17	19	5
PM_BMR_461	17	19	5
PM_BMR_462	19	21	4
PM_BMR_463	11	14	5
PM_BMR_464	10	12	5
PM_BMR_465	4	4	4
PM_BMR_466	5	10	5
PM_BMR_467	18	20	5
PM_BMR_468	4	4	4
PM_BMR_469	6	18	4
PM_BMR_470	11	14	5
PM_BMR_471	11	14	5
PM_BMR_472	7	16	6
PM_BMR_473	17	19	5
PM_BMR_474	10	13	5
PM_BMR_475	20	23	5
PM_BMR_476	19	15	4
PM_BMR_477	11	14	5
PM_BMR_478	7	16	6
PM_BMR_479	17	19	5
PM_BMR_480	10	13	5
PM_BMR_481	28	10	5
PM_BMR_482	7	16	6
PM_BMR_483	10	23	5
PM_BMR_484	18	20	5
PM_BMR_485	11	14	5
PM_BMR_486	10	12	5
PM_BMR_487	4	4	4
PM_BMR_488	6	18	4
PM_BMR_489	11	14	5
PM_BMR_490	10	12	5
PM_BMR_491	13	14	5
PM_BMR_492	19	15	4
PM_BMR_493	6	37	4
PM_BMR_494	6	18	4
PM_BMR_495	7	11	6
PM_BMR_496	12	15	4
PM_BMR_497	4	4	4
PM_BMR_498	16	17	8
PM_BMR_499	7	24	6
PM_BMR_500	10	5	5
PM_BMR_501	7	11	6
PM_BMR_502	11	14	5
PM_BMR_503	7	11	6
PM_BMR_504	16	17	8
PM_BMR_505	9	14	5
PM_BMR_506	7	11	6
PM_BMR_507	9	14	5
PM_BMR_508	10	13	5
PM_BMR_509	6	18	4
PM_BMR_510	11	14	5
PM_BMR_511	17	19	5
PM_BMR_512	7	11	6
PM_BMR_513	7	16	6
PM_BMR_514	12	15	4
PM_BMR_515	5	10	5
PM_BMR_516	16	17	8
PM_BMR_517	11	14	5
PM_BMR_518	11	14	5
PM_BMR_519	4	4	4
PM_BMR_520	5	10	5
PM_BMR_521	4	4	4
PM_BMR_522	7	7	6
PM_BMR_523	4	4	4
PM_BMR_524	5	10	5
PM_BMR_525	10	12	5
PM_BMR_526	7	7	6
PM_BMR_527	10	13	5
PM_BMR_528	11	14	5
PM_BMR_529	7	7	6
PM_BMR_530	16	17	8
PM_BMR_531	16	17	8
PM_BMR_532	18	19	5
PM_BMR_533	7	11	6
PM_BMR_534	11	14	5
PM_BMR_535	12	15	4
PM_BMR_536	4	4	4
PM_BMR_537	4	4	4
PM_BMR_538	10	5	5
PM_BMR_539	10	12	5
PM_BMR_540	28	5	5
PM_BMR_541	16	17	8
PM_BMR_542	4	4	4
PM_BMR_543	6	18	4
PM_BMR_544	4	4	4
PM_BMR_545	6	18	4
PM_BMR_546	6	18	4
PM_BMR_547	10	23	5
PM_BMR_548	14	4	4
PM_BMR_549	7	11	6
PM_BMR_550	11	14	5
PM_BMR_551	10	13	5
PM_BMR_552	7	11	6
PM_BMR_553	9	14	5
PM_BMR_554	7	11	6
PM_BMR_555	11	14	5
PM_BMR_556	9	14	5
PM_BMR_557	7	16	6
PM_BMR_558	7	11	6
PM_BMR_559	9	14	5
PM_BMR_560	7	16	6
PM_BMR_561	11	14	5
PM_BMR_562	4	4	4
PM_BMR_563	11	14	5
PM_BMR_564	11	55	5
PM_BMR_565	6	18	4
PM_BMR_566	7	11	6
PM_BMR_567	7	11	6
PM_BMR_568	10	12	5
PM_BMR_569	6	18	4
PM_BMR_570	4	4	4
PM_BMR_571	19	15	4
PM_BMR_572	28	10	5
PM_BMR_573	20	23	5
PM_BMR_574	11	14	5
PM_BMR_575	10	13	5
PM_BMR_576	6	18	4
PM_BMR_577	10	12	5
PM_BMR_578	6	18	4
PM_BMR_579	11	14	5
PM_BMR_580	4	4	4
PM_BMR_581	20	23	5
PM_BMR_582	4	4	4
PM_BMR_583	4	4	4
PM_BMR_584	11	14	5
PM_BMR_585	11	14	5
PM_BMR_586	11	14	5
PM_BMR_587	6	18	4
PM_BMR_588	7	11	6
PM_BMR_589	4	4	4
PM_BMR_590	10	23	5
PM_BMR_591	11	14	5
PM_BMR_592	6	6	4
PM_BMR_593	7	7	6
PM_BMR_594	4	4	4
PM_BMR_595	28	10	5
PM_BMR_596	19	15	4
PM_BMR_597	4	4	4
PM_BMR_598	9	12	5
PM_BMR_599	10	13	5
PM_BMR_600	7	11	6
PM_BMR_601	13	14	5
PM_BMR_602	4	4	4
PM_BMR_603	7	16	6
PM_BMR_604	4	4	4
PM_BMR_605	4	4	4
PM_BMR_606	7	16	6
PM_BMR_607	13	14	5
PM_BMR_608	11	14	5
PM_BMR_609	10	23	5
PM_BMR_610	17	52	5
PM_BMR_611	38	39	4
PM_BMR_612	16	17	8
PM_BMR_613	31	34	5
PM_BMR_614	18	20	5
PM_BMR_615	17	19	5
PM_BMR_616	17	36	5
PM_BMR_617	36	42	14
PM_BMR_618	39	46	4
PM_BMR_619	16	17	8
PM_BMR_620	35	37	4
PM_BMR_621	47	6	4
PM_BMR_622	7	11	6
PM_BMR_623	31	34	5
PM_BMR_624	16	17	8
PM_BMR_625	38	43	4
PM_BMR_626	35	37	4
PM_BMR_627	17	36	5
PM_BMR_628	16	17	8
PM_BMR_629	11	14	5
PM_BMR_630	4	4	4
PM_BMR_631	17	35	5
PM_BMR_632	12	15	4
PM_BMR_633	12	15	4
PM_BMR_634	17	36	5
PM_BMR_635	48	17	8
PM_BMR_636	29	49	13
PM_BMR_637	33	15	4
PM_BMR_638	17	35	5
PM_BMR_639	29	49	13
PM_BMR_640	30	32	4
PM_BMR_641	16	17	8
PM_BMR_642	31	34	5
PM_BMR_643	16	17	8
PM_BMR_644	35	37	4
PM_BMR_645	37	37	4
PM_BMR_646	28	10	5
PM_BMR_647	16	17	8
PM_BMR_648	33	15	4
PM_BMR_649	7	11	6
PM_BMR_650	49	53	17
PM_BMR_651	31	34	5
PM_BMR_652	39	37	4
PM_BMR_653	37	37	4
PM_BMR_654	14	44	4
PM_BMR_655	50	56	18
PM_BMR_656	9	14	5
PM_BMR_657	6	6	4
PM_BMR_658	17	35	5
PM_BMR_659	5	10	5
PM_BMR_660	17	36	5
PM_BMR_661	32	32	4
PM_BMR_662	35	41	4
PM_BMR_663	51	24	6
PM_BMR_664	52	45	4
PM_BMR_665	53	57	19
PM_BMR_666	17	35	5
PM_BMR_667	31	33	5
PM_BMR_668	4	4	4
PM_BMR_669	35	37	4
PM_BMR_670	38	45	4
PM_BMR_671	54	1	1
PM_BMR_672	34	58	4
PM_BMR_673	55	21	4
PM_BMR_674	56	59	20
PM_BMR_675	37	39	4
PM_BMR_676	33	15	4
PM_BMR_677	3	3	3
PM_BMR_678	57	60	21
PM_BMR_679	2	2	2
PM_BMR_680	2	2	2
PM_BMR_681	3	3	3
PM_BMR_682	3	3	3
PM_BMR_683	2	2	2
PM_BMR_684	2	2	2
PM_BMR_685	2	2	2
PM_BMR_686	2	2	2
PM_BMR_687	2	2	2
PM_BMR_688	3	3	3
PM_BMR_689	2	2	2
PM_BMR_690	44	61	16
PM_BMR_691	2	2	2
PM_BMR_692	2	2	2
PM_BMR_693	17	19	5
PM_BMR_694	17	19	5
PM_BMR_695	19	15	4
PM_BMR_696	6	6	4
PM_BMR_697	7	7	6
PM_BMR_698	12	15	4
PM_BMR_699	11	14	5
PM_BMR_700	38	43	4
PM_BMR_701	14	4	4
PM_BMR_702	11	14	5
PM_BMR_703	11	14	5
PM_BMR_704	4	4	4
PM_BMR_705	4	4	4
PM_BMR_706	7	11	6
PM_BMR_707	10	23	5
PM_BMR_708	7	16	6
PM_BMR_709	18	19	5
PM_BMR_710	7	16	6
PM_BMR_711	10	13	5
PM_BMR_712	5	10	5
PM_BMR_713	7	11	6
PM_BMR_714	7	11	6
PM_BMR_715	6	37	4
PM_BMR_716	7	16	6
PM_BMR_717	10	12	5
PM_BMR_718	16	17	8
PM_BMR_719	11	14	5
PM_BMR_720	7	16	6
PM_BMR_721	12	15	4
PM_BMR_722	20	20	5
PM_BMR_723	10	23	5
PM_BMR_724	10	13	5
PM_BMR_725	17	19	5
PM_BMR_726	10	12	5
PM_BMR_727	10	13	5
PM_BMR_728	18	20	5
PM_BMR_729	11	14	5
PM_BMR_730	10	12	5
PM_BMR_731	58	54	5
PM_BMR_732	7	11	6
PM_BMR_733	18	54	5
PM_BMR_734	10	13	5
PM_BMR_735	7	16	6
PM_BMR_736	17	19	5
PM_BMR_737	10	23	5
PM_BMR_738	10	13	5
PM_BMR_739	20	20	5
PM_BMR_740	7	11	6
PM_BMR_741	9	14	5
PM_BMR_742	10	12	5
PM_BMR_743	18	20	5
PM_BMR_744	13	14	5
PM_BMR_745	10	13	5
PM_BMR_746	10	5	5
PM_BMR_747	7	11	6
PM_BMR_748	7	16	6
PM_BMR_749	7	11	6
PM_BMR_750	28	10	5
PM_BMR_751	13	14	5
PM_BMR_752	11	14	5
PM_BMR_753	7	16	6
PM_BMR_754	7	11	6
PM_BMR_755	10	12	5
PM_BMR_756	7	11	6
PM_BMR_757	12	15	4
PM_BMR_758	6	37	4
PM_BMR_759	18	19	5
PM_BMR_760	7	11	6
PM_BMR_761	19	21	4
PM_BMR_762	10	13	5
PM_BMR_763	7	11	6
PM_BMR_764	6	6	4
PM_BMR_765	18	20	5
PM_BMR_766	15	5	5
PM_BMR_767	59	54	5
PM_BMR_768	7	16	6
PM_BMR_769	7	16	6
PM_BMR_770	11	14	5
PM_BMR_771	7	11	6
PM_BMR_772	18	20	5
PM_BMR_773	15	5	5
PM_BMR_774	7	11	6
PM_BMR_775	10	12	5
PM_BMR_776	7	16	6
PM_BMR_777	10	13	5
PM_BMR_778	7	7	6
PM_BMR_779	11	14	5
PM_BMR_780	11	14	5
PM_BMR_781	18	54	5
PM_BMR_782	10	23	5
PM_BMR_783	11	14	5
PM_BMR_784	7	11	6
PM_BMR_785	7	16	6
PM_BMR_786	18	19	5
PM_BMR_787	7	16	6
PM_BMR_788	10	13	5
PM_BMR_789	6	18	4
PM_BMR_790	10	13	5
PM_BMR_791	10	12	5
PM_BMR_792	18	54	5
PM_BMR_793	12	15	4
PM_BMR_794	13	14	5
PM_BMR_795	7	11	6
PM_BMR_796	10	23	5
PM_BMR_797	16	17	8
PM_BMR_798	16	17	8
PM_BMR_799	16	17	8
PM_BMR_800	18	20	5
PM_BMR_801	7	7	6
PM_BMR_802	7	7	6
PM_BMR_803	16	17	8
PM_BMR_804	6	18	4
PM_BMR_805	60	62	22
PM_BMR_806	7	11	6
PM_BMR_807	11	14	5
PM_BMR_808	6	6	4
PM_BMR_809	18	19	5
PM_BMR_810	7	16	6
PM_BMR_811	11	55	5
PM_BMR_812	61	12	5
PM_BMR_813	12	15	4
PM_BMR_814	20	20	5
PM_BMR_815	4	4	4
PM_BMR_816	7	16	6
PM_BMR_817	11	14	5
PM_BMR_818	12	15	4
PM_BMR_819	10	23	5
PM_BMR_820	4	4	4
PM_BMR_822	10	12	5
PM_BMR_823	48	17	8
PM_BMR_824	11	14	5
PM_BMR_825	11	14	5
PM_BMR_826	15	5	5
PM_BMR_827	14	4	4
PM_BMR_828	4	4	4
PM_BMR_830	11	14	5
PM_BMR_831	9	12	5
PM_BMR_832	13	14	5
PM_BMR_833	6	18	4
PM_BMR_834	4	4	4
PM_BMR_835	48	17	8
PM_BMR_836	4	4	4
PM_BMR_837	20	20	5
PM_BMR_838	7	11	6
PM_BMR_839	11	14	5
PM_BMR_840	17	19	5
PM_BMR_841	20	20	5
PM_BMR_842	11	14	5
PM_BMR_843	15	5	5
PM_BMR_844	13	14	5
