OffspringID	FatherID	MotherID	ClusterIndex
PM_BMR_1039	13	1	1
PM_BMR_104	13	1	1
PM_BMR_1040	19	11	1
PM_BMR_1041	18	18	5
PM_BMR_1042	6	9	1
PM_BMR_1043	12	13	1
PM_BMR_1044	4	12	4
PM_BMR_1045	13	1	1
PM_BMR_1046	4	12	4
PM_BMR_1047	12	23	1
PM_BMR_1048	12	10	1
PM_BMR_1049	5	23	1
PM_BMR_105	19	11	1
PM_BMR_1050	4	12	4
PM_BMR_1051	15	1	1
PM_BMR_1053	13	1	1
PM_BMR_1054	13	1	1
PM_BMR_1055	25	25	6
PM_BMR_1056	25	25	6
PM_BMR_1057	26	26	7
PM_BMR_1058	25	25	6
PM_BMR_1059	25	25	6
PM_BMR_106	7	10	1
PM_BMR_1060	27	27	8
PM_BMR_1061	25	25	6
PM_BMR_1062	28	27	8
PM_BMR_1063	29	28	9
PM_BMR_1064	25	25	6
PM_BMR_1065	25	25	6
PM_BMR_1066	28	27	8
PM_BMR_1068	28	27	8
PM_BMR_1069	25	25	6
PM_BMR_107	4	12	4
PM_BMR_1070	25	25	6
PM_BMR_1071	28	27	8
PM_BMR_1072	30	28	9
PM_BMR_1073	29	28	9
PM_BMR_1074	25	25	6
PM_BMR_1075	28	27	8
PM_BMR_1076	31	27	8
PM_BMR_1077	25	25	6
PM_BMR_1078	26	26	7
PM_BMR_1079	25	25	6
PM_BMR_108	18	18	5
PM_BMR_1080	25	25	6
PM_BMR_1081	28	27	8
PM_BMR_1082	25	25	6
PM_BMR_1083	30	29	9
PM_BMR_1084	32	29	9
PM_BMR_1085	28	27	8
PM_BMR_1086	28	27	8
PM_BMR_1087	25	25	6
PM_BMR_1088	30	28	9
PM_BMR_1089	26	26	7
PM_BMR_109	12	13	1
PM_BMR_110	19	11	1
PM_BMR_111	12	15	1
PM_BMR_112	9	12	4
PM_BMR_113	6	17	1
PM_BMR_114	9	12	4
PM_BMR_115	13	1	1
PM_BMR_116	6	9	1
PM_BMR_117	13	1	1
PM_BMR_118	6	9	1
PM_BMR_119	12	23	1
PM_BMR_120	4	12	4
PM_BMR_121	19	11	1
PM_BMR_122	13	1	1
PM_BMR_123	18	18	5
PM_BMR_124	33	14	1
PM_BMR_125	4	12	4
PM_BMR_126	6	9	1
PM_BMR_127	18	18	5
PM_BMR_128	16	12	4
PM_BMR_129	18	18	5
PM_BMR_130	34	30	10
PM_BMR_131	35	31	1
PM_BMR_132	36	32	1
PM_BMR_133	20	19	1
PM_BMR_134	36	33	1
PM_BMR_135	35	34	1
PM_BMR_136	14	35	1
PM_BMR_137	20	36	1
PM_BMR_138	8	37	1
PM_BMR_139	20	38	1
PM_BMR_140	36	32	1
PM_BMR_141	14	16	1
PM_BMR_142	12	23	1
PM_BMR_143	37	39	1
PM_BMR_144	38	40	11
PM_BMR_145	39	41	1
PM_BMR_146	8	35	1
PM_BMR_147	40	41	1
PM_BMR_148	38	40	11
PM_BMR_149	36	32	1
PM_BMR_150	18	18	5
PM_BMR_151	20	36	1
PM_BMR_152	18	18	5
PM_BMR_153	37	39	1
PM_BMR_154	41	39	1
PM_BMR_155	6	9	1
PM_BMR_156	20	32	1
PM_BMR_157	8	35	1
PM_BMR_158	18	18	5
PM_BMR_159	42	40	11
PM_BMR_160	37	39	1
PM_BMR_161	36	33	1
PM_BMR_162	37	41	1
PM_BMR_163	8	37	1
PM_BMR_164	35	34	1
PM_BMR_165	20	36	1
PM_BMR_166	35	31	1
PM_BMR_167	43	42	1
PM_BMR_168	44	31	1
PM_BMR_169	36	32	1
PM_BMR_170	13	1	1
PM_BMR_171	45	42	1
PM_BMR_172	46	43	1
PM_BMR_173	14	16	1
PM_BMR_174	14	35	1
PM_BMR_175	36	32	1
PM_BMR_176	37	41	1
PM_BMR_177	35	31	1
PM_BMR_178	45	42	1
PM_BMR_179	6	9	1
PM_BMR_180	47	44	12
PM_BMR_181	48	45	12
PM_BMR_182	14	16	1
PM_BMR_183	14	35	1
PM_BMR_184	19	11	1
PM_BMR_185	14	17	1
PM_BMR_186	18	18	5
PM_BMR_187	20	38	1
PM_BMR_188	6	9	1
PM_BMR_189	14	16	1
PM_BMR_190	34	30	10
PM_BMR_191	37	39	1
PM_BMR_192	46	43	1
PM_BMR_193	20	38	1
PM_BMR_195	20	38	1
PM_BMR_196	46	43	1
PM_BMR_197	20	19	1
PM_BMR_198	39	42	1
PM_BMR_199	18	18	5
PM_BMR_200	35	34	1
PM_BMR_201	39	41	1
PM_BMR_202	14	21	1
PM_BMR_203	35	31	1
PM_BMR_204	39	41	1
PM_BMR_205	49	33	1
PM_BMR_206	6	9	1
PM_BMR_207	39	42	1
PM_BMR_208	34	46	10
PM_BMR_209	20	19	1
PM_BMR_210	37	43	1
PM_BMR_211	47	47	12
PM_BMR_212	8	35	1
PM_BMR_213	19	11	1
PM_BMR_214	37	41	1
PM_BMR_215	39	41	1
PM_BMR_216	20	38	1
PM_BMR_217	46	43	1
PM_BMR_218	50	48	13
PM_BMR_219	14	16	1
PM_BMR_220	39	42	1
PM_BMR_221	51	48	13
PM_BMR_222	12	13	1
PM_BMR_223	4	12	4
PM_BMR_224	36	33	1
PM_BMR_225	36	33	1
PM_BMR_226	50	48	13
PM_BMR_227	18	18	5
PM_BMR_228	43	42	1
PM_BMR_229	20	36	1
PM_BMR_230	44	37	1
PM_BMR_231	14	16	1
PM_BMR_232	35	34	1
PM_BMR_233	14	35	1
PM_BMR_234	44	31	1
PM_BMR_235	6	9	1
PM_BMR_236	37	41	1
PM_BMR_237	14	16	1
PM_BMR_238	14	35	1
PM_BMR_239	46	43	1
PM_BMR_240	38	40	11
PM_BMR_241	38	40	11
PM_BMR_242	36	33	1
PM_BMR_243	18	18	5
PM_BMR_244	4	12	4
PM_BMR_245	12	13	1
PM_BMR_246	36	33	1
PM_BMR_247	36	33	1
PM_BMR_248	37	39	1
PM_BMR_249	36	32	1
PM_BMR_250	13	1	1
PM_BMR_251	35	34	1
PM_BMR_252	45	42	1
PM_BMR_253	37	39	1
PM_BMR_254	14	35	1
PM_BMR_255	18	18	5
PM_BMR_256	20	36	1
PM_BMR_257	37	39	1
PM_BMR_258	7	10	1
PM_BMR_259	49	33	1
PM_BMR_260	49	33	1
PM_BMR_261	39	41	1
PM_BMR_262	42	40	11
PM_BMR_263	18	18	5
PM_BMR_264	20	38	1
PM_BMR_265	16	49	4
PM_BMR_266	14	16	1
PM_BMR_267	36	33	1
PM_BMR_268	8	35	1
PM_BMR_269	41	39	1
PM_BMR_270	34	30	10
PM_BMR_271	42	40	11
PM_BMR_272	18	18	5
PM_BMR_273	20	32	1
PM_BMR_274	36	32	1
PM_BMR_275	20	38	1
PM_BMR_276	36	33	1
PM_BMR_277	9	12	4
PM_BMR_278	17	10	1
PM_BMR_279	34	30	10
PM_BMR_280	20	19	1
PM_BMR_281	6	9	1
PM_BMR_282	35	31	1
PM_BMR_283	43	42	1
PM_BMR_284	6	9	1
PM_BMR_285	47	45	12
PM_BMR_286	37	39	1
PM_BMR_287	14	16	1
PM_BMR_288	20	36	1
PM_BMR_289	18	18	5
PM_BMR_290	13	1	1
PM_BMR_291	37	39	1
PM_BMR_292	14	16	1
PM_BMR_293	47	45	12
PM_BMR_294	18	18	5
PM_BMR_295	47	45	12
PM_BMR_296	35	31	1
PM_BMR_297	39	42	1
PM_BMR_298	36	32	1
PM_BMR_299	35	31	1
PM_BMR_300	47	47	12
PM_BMR_301	20	19	1
PM_BMR_302	20	38	1
PM_BMR_303	43	42	1
PM_BMR_304	47	45	12
PM_BMR_305	43	42	1
PM_BMR_306	8	37	1
PM_BMR_307	49	33	1
PM_BMR_308	18	18	5
PM_BMR_309	14	16	1
PM_BMR_310	19	11	1
PM_BMR_311	20	50	1
PM_BMR_312	36	32	1
PM_BMR_313	13	1	1
PM_BMR_314	18	18	5
PM_BMR_315	47	45	12
PM_BMR_316	12	23	1
PM_BMR_317	52	51	14
PM_BMR_318	37	39	1
PM_BMR_319	18	18	5
PM_BMR_320	37	39	1
PM_BMR_321	13	1	1
PM_BMR_322	15	1	1
PM_BMR_323	21	19	1
PM_BMR_324	33	10	1
PM_BMR_325	4	12	4
PM_BMR_326	4	12	4
PM_BMR_327	12	15	1
PM_BMR_328	19	11	1
PM_BMR_329	16	12	4
PM_BMR_330	19	11	1
PM_BMR_331	21	52	1
PM_BMR_332	12	23	1
PM_BMR_333	4	12	4
PM_BMR_334	21	20	1
PM_BMR_335	4	12	4
PM_BMR_336	12	13	1
PM_BMR_337	4	12	4
PM_BMR_338	4	12	4
PM_BMR_339	24	12	4
PM_BMR_340	4	12	4
PM_BMR_341	16	12	4
PM_BMR_342	12	13	1
PM_BMR_343	4	12	4
PM_BMR_344	12	15	1
PM_BMR_345	19	11	1
PM_BMR_346	12	15	1
PM_BMR_347	12	13	1
PM_BMR_348	6	9	1
PM_BMR_349	12	10	1
PM_BMR_350	19	11	1
PM_BMR_351	12	13	1
PM_BMR_352	19	11	1
PM_BMR_353	12	15	1
PM_BMR_354	13	1	1
PM_BMR_355	12	23	1
PM_BMR_356	19	11	1
PM_BMR_357	14	21	1
PM_BMR_358	7	13	1
PM_BMR_359	5	23	1
PM_BMR_360	4	12	4
PM_BMR_361	6	9	1
PM_BMR_362	6	9	1
PM_BMR_363	13	1	1
PM_BMR_364	13	1	1
PM_BMR_365	5	23	1
PM_BMR_366	20	22	1
PM_BMR_367	19	11	1
PM_BMR_368	4	12	4
PM_BMR_369	13	1	1
PM_BMR_370	8	11	1
PM_BMR_371	4	12	4
PM_BMR_372	6	9	1
PM_BMR_373	4	12	4
PM_BMR_374	18	18	5
PM_BMR_375	4	12	4
PM_BMR_376	33	14	1
PM_BMR_377	21	52	1
PM_BMR_378	13	1	1
PM_BMR_379	17	10	1
PM_BMR_380	24	12	4
PM_BMR_381	9	12	4
PM_BMR_382	16	12	4
PM_BMR_383	12	23	1
PM_BMR_384	21	52	1
PM_BMR_385	12	13	1
PM_BMR_386	21	52	1
PM_BMR_387	12	13	1
PM_BMR_388	18	18	5
PM_BMR_389	5	23	1
PM_BMR_390	33	10	1
PM_BMR_391	13	1	1
PM_BMR_392	13	1	1
PM_BMR_393	19	11	1
PM_BMR_394	15	1	1
PM_BMR_395	17	10	1
PM_BMR_396	13	1	1
PM_BMR_397	12	13	1
PM_BMR_398	12	15	1
PM_BMR_399	14	21	1
PM_BMR_400	19	11	1
PM_BMR_401	13	1	1
PM_BMR_402	5	20	1
PM_BMR_403	14	16	1
PM_BMR_405	13	1	1
PM_BMR_406	4	12	4
PM_BMR_407	19	11	1
PM_BMR_408	5	23	1
PM_BMR_409	17	10	1
PM_BMR_410	17	10	1
PM_BMR_411	16	12	4
PM_BMR_412	21	20	1
PM_BMR_413	4	12	4
PM_BMR_414	5	23	1
PM_BMR_415	4	12	4
PM_BMR_416	7	14	1
PM_BMR_417	15	1	1
PM_BMR_418	4	12	4
PM_BMR_419	4	12	4
PM_BMR_420	13	1	1
PM_BMR_421	19	11	1
PM_BMR_422	18	18	5
PM_BMR_423	13	1	1
PM_BMR_424	18	18	5
PM_BMR_425	18	18	5
PM_BMR_426	9	12	4
PM_BMR_427	6	9	1
PM_BMR_428	21	20	1
PM_BMR_429	15	1	1
PM_BMR_430	4	12	4
PM_BMR_431	9	12	4
PM_BMR_432	13	1	1
PM_BMR_433	13	1	1
PM_BMR_434	12	15	1
PM_BMR_435	12	15	1
PM_BMR_436	4	12	4
PM_BMR_437	16	12	4
PM_BMR_438	12	15	1
PM_BMR_439	9	12	4
PM_BMR_440	9	12	4
PM_BMR_441	12	13	1
PM_BMR_442	19	11	1
PM_BMR_443	6	9	1
PM_BMR_444	8	11	1
PM_BMR_445	13	1	1
PM_BMR_446	5	23	1
PM_BMR_447	13	1	1
PM_BMR_448	6	17	1
PM_BMR_449	23	1	1
PM_BMR_450	37	11	1
PM_BMR_451	12	15	1
PM_BMR_452	20	19	1
PM_BMR_453	23	13	1
PM_BMR_454	9	12	4
PM_BMR_455	6	17	1
PM_BMR_456	7	10	1
PM_BMR_457	12	13	1
PM_BMR_458	37	11	1
PM_BMR_459	13	1	1
PM_BMR_460	20	19	1
PM_BMR_461	20	19	1
PM_BMR_462	22	21	1
PM_BMR_463	13	1	1
PM_BMR_464	12	13	1
PM_BMR_465	6	9	1
PM_BMR_466	7	14	1
PM_BMR_467	21	20	1
PM_BMR_468	6	9	1
PM_BMR_469	19	11	1
PM_BMR_470	13	1	1
PM_BMR_471	13	1	1
PM_BMR_472	16	12	4
PM_BMR_473	20	19	1
PM_BMR_474	12	15	1
PM_BMR_475	5	23	1
PM_BMR_476	14	21	1
PM_BMR_477	13	1	1
PM_BMR_478	16	12	4
PM_BMR_479	20	19	1
PM_BMR_480	12	15	1
PM_BMR_481	33	14	1
PM_BMR_482	16	12	4
PM_BMR_483	12	23	1
PM_BMR_484	21	20	1
PM_BMR_485	13	1	1
PM_BMR_486	12	13	1
PM_BMR_487	6	9	1
PM_BMR_488	19	11	1
PM_BMR_489	13	1	1
PM_BMR_490	12	13	1
PM_BMR_491	15	1	1
PM_BMR_492	14	21	1
PM_BMR_493	37	11	1
PM_BMR_494	19	11	1
PM_BMR_495	4	12	4
PM_BMR_496	14	16	1
PM_BMR_497	6	9	1
PM_BMR_498	18	18	5
PM_BMR_499	24	12	4
PM_BMR_500	12	10	1
PM_BMR_501	4	12	4
PM_BMR_502	13	1	1
PM_BMR_503	4	12	4
PM_BMR_504	18	18	5
PM_BMR_505	23	1	1
PM_BMR_506	4	12	4
PM_BMR_507	23	1	1
PM_BMR_508	12	15	1
PM_BMR_509	19	11	1
PM_BMR_510	13	1	1
PM_BMR_511	20	19	1
PM_BMR_512	4	12	4
PM_BMR_513	16	12	4
PM_BMR_514	14	16	1
PM_BMR_515	7	14	1
PM_BMR_516	18	18	5
PM_BMR_517	13	1	1
PM_BMR_518	13	1	1
PM_BMR_519	6	9	1
PM_BMR_520	7	14	1
